                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5532,                 1.8999,                 1.7576,                 1.4998,                0.20955,                 0.3253,                0.14265,                0.04565,                0.10302,                0.28916,                0.06094,                0.01189,                 2.4239,                 1.5474,                 3.9339,                 2.2469,             0.00066505,             0.00066505,             0.00066505
                      2,                 1.5548,                 1.7886,                 1.6036,                 1.4952,                 0.4823,                0.42169,                0.34715,                0.13473,                0.41553,                0.41401,                0.26874,                0.06637,                 2.1432,                 1.4235,                 2.1319,                 1.8021,              0.0013185,              0.0013185,              0.0013185
                      3,                  1.399,                 1.7315,                 1.4333,                 1.3919,                0.40342,                0.41823,                0.35654,                0.12276,                0.53007,                0.35743,                0.34928,                0.10687,                 2.0468,                 1.3399,                 2.2974,                 1.6614,              0.0019588,              0.0019588,              0.0019588
                      4,                 1.3036,                 1.6851,                 1.3179,                 1.3315,                0.65618,                0.62083,                0.58018,                0.34215,                0.56855,                0.55422,                0.41572,                0.13355,                 1.5195,                 1.2533,                 1.6543,                 1.3986,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2284,                 1.6485,                  1.237,                 1.2905,                0.59427,                0.60643,                 0.5029,                0.28135,                0.51151,                0.49799,                0.34574,                 0.0953,                 1.5468,                 1.3121,                 1.9187,                 1.3892,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1678,                 1.6308,                 1.1617,                 1.2598,                0.68463,                0.69747,                0.62634,                0.39241,                0.63231,                0.61044,                0.50048,                0.14825,                 1.3832,                 1.2559,                 1.5297,                 1.2955,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1396,                 1.6232,                 1.1026,                 1.2418,                0.68419,                0.65462,                0.63525,                0.42325,                 0.6084,                0.56156,                0.47614,                  0.154,                 1.3333,                 1.2055,                 1.5293,                  1.292,               0.001901,               0.001901,               0.001901
                      8,                 1.0897,                 1.5696,                 1.0669,                 1.2259,                0.71904,                0.68675,                 0.6763,                0.44065,                0.64502,                0.61446,                0.55527,                 0.1663,                 1.3031,                 1.2759,                  1.372,                 1.2501,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0567,                 1.5761,                 1.0082,                 1.2103,                0.67039,                0.69429,                0.64416,                0.42509,                0.57609,                0.59491,                0.47786,                0.15495,                 1.2676,                 1.2666,                 1.3279,                 1.2223,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0487,                 1.5731,                0.99981,                 1.2064,                0.75742,                0.67713,                0.69577,                0.45215,                0.60673,                0.54217,                0.45853,                0.13781,                 1.2619,                 1.2522,                 1.2189,                 1.2087,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.0421,                 1.5609,                0.99017,                 1.2004,                0.74849,                0.67871,                0.69444,                0.46061,                0.62825,                0.59839,                0.50075,                0.16094,                 1.2281,                 1.2974,                 1.2822,                 1.2199,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0045,                 1.5547,                0.94746,                 1.1763,                 0.7601,                0.63624,                0.68313,                0.46766,                0.65539,                 0.5502,                0.52133,                0.17016,                  1.199,                 1.2055,                 1.2542,                 1.1638,               0.001802,               0.001802,               0.001802
                     13,                0.99088,                 1.5453,                 0.9344,                 1.1771,                0.72611,                0.62817,                0.69688,                0.44975,                0.63762,                0.55118,                0.52964,                0.16583,                 1.2186,                 1.2436,                 1.2582,                 1.2168,              0.0017822,              0.0017822,              0.0017822
                     14,                0.99065,                 1.5453,                 0.9301,                 1.1701,                0.79333,                 0.6783,                0.71785,                0.50706,                0.67413,                0.58233,                0.54424,                0.17499,                 1.1058,                 1.2353,                 1.2032,                 1.1553,              0.0017624,              0.0017624,              0.0017624
                     15,                 0.9649,                 1.5129,                0.91115,                 1.1506,                0.73472,                0.73092,                0.72588,                0.51557,                0.68881,                0.59839,                0.57662,                0.17395,                 1.0696,                 1.2108,                  1.104,                 1.0875,              0.0017426,              0.0017426,              0.0017426
                     16,                0.96936,                 1.5273,                0.90975,                 1.1582,                0.82258,                0.68893,                0.74133,                0.49248,                0.73575,                0.61499,                0.59935,                0.20082,                  1.155,                 1.2233,                 1.1329,                 1.1392,              0.0017228,              0.0017228,              0.0017228
                     17,                0.94628,                 1.5137,                0.87447,                 1.1414,                0.79786,                0.69748,                0.74631,                0.53397,                0.69686,                0.59438,                0.56623,                0.17302,                 1.0904,                 1.2241,                 1.1052,                 1.1396,               0.001703,               0.001703,               0.001703
                     18,                0.93928,                 1.5114,                0.86031,                   1.14,                0.84837,                0.63052,                0.72116,                0.49951,                0.76732,                0.57028,                0.57352,                0.17464,                 1.1046,                 1.2255,                 1.1859,                 1.1197,              0.0016832,              0.0016832,              0.0016832
                     19,                0.94027,                 1.4987,                0.87214,                 1.1427,                0.85023,                0.70683,                0.76346,                0.55173,                 0.7681,                0.63855,                0.62573,                0.18962,                  1.026,                 1.2077,                 1.0875,                 1.0842,              0.0016634,              0.0016634,              0.0016634
                     20,                0.93288,                 1.5022,                0.85447,                 1.1396,                0.72812,                 0.6747,                0.70869,                0.49643,                0.67079,                  0.581,                0.56637,                0.17909,                 1.0802,                 1.1957,                 1.1945,                 1.1322,              0.0016436,              0.0016436,              0.0016436
