                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.457,                 1.9437,                 1.6404,                 1.3896,                 0.2034,                0.49398,                0.15097,                0.04741,                0.16602,                0.40161,                0.11011,                0.02366,                 2.2062,                 1.4007,                 6.3801,                 2.0503,             0.00066416,             0.00066416,             0.00066416
                      2,                 1.4806,                 1.7374,                 1.4695,                 1.4014,                0.22799,                0.22088,                0.08677,                0.02742,                0.29614,                0.19277,                0.09063,                0.02442,                  3.003,                 1.3696,                  4.101,                 2.5942,              0.0013177,              0.0013177,              0.0013177
                      3,                 1.3996,                 1.6996,                 1.3876,                   1.35,                0.36151,                0.57831,                0.36937,                0.16524,                0.28744,                 0.4698,                0.24796,                0.06393,                 1.8663,                 1.3922,                 2.5728,                 1.6793,              0.0019579,              0.0019579,              0.0019579
                      4,                   1.28,                 1.6489,                 1.2645,                 1.2905,                0.58633,                0.59438,                0.51365,                0.26413,                0.48254,                 0.4569,                0.30947,                0.08718,                 1.6021,                 1.3647,                 2.0605,                 1.4865,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2075,                 1.6531,                 1.1881,                 1.2621,                0.64937,                0.59438,                0.59898,                0.31906,                0.53167,                0.52209,                0.41432,                  0.129,                 1.5499,                 1.2805,                 1.6741,                 1.4418,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1671,                 1.6327,                 1.1409,                 1.2306,                0.68882,                0.64257,                0.61809,                 0.3229,                 0.5812,                0.54217,                0.43391,                0.13118,                 1.4962,                 1.2819,                 1.5463,                 1.3762,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1278,                 1.5988,                 1.0777,                 1.2159,                0.66356,                 0.6506,                0.62362,                0.36036,                0.56708,                0.56289,                0.45577,                0.14971,                 1.5316,                 1.2016,                 1.4248,                 1.3989,               0.001901,               0.001901,               0.001901
                      8,                 1.0954,                 1.5726,                 1.0444,                 1.1958,                0.75188,                0.61847,                0.66463,                0.40968,                0.59609,                 0.5261,                0.46502,                0.13986,                  1.359,                 1.2666,                 1.4928,                 1.3426,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0639,                 1.5604,                  1.019,                 1.1913,                0.69707,                0.66265,                0.67632,                 0.4046,                0.64342,                0.55823,                0.52559,                0.15978,                 1.4318,                 1.2047,                 1.4624,                 1.3847,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0444,                 1.5582,                0.98508,                 1.1742,                0.79289,                0.66667,                0.70169,                0.47037,                0.70499,                0.60643,                0.55097,                0.16498,                 1.3078,                 1.2863,                 1.2576,                 1.2974,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.0419,                 1.5517,                0.97874,                 1.1697,                0.74279,                0.71486,                 0.6971,                0.45747,                 0.6645,                0.58233,                0.49873,                0.17385,                 1.2737,                 1.1724,                 1.2742,                 1.2498,              0.0018218,              0.0018218,              0.0018218
                     12,                  1.028,                 1.5655,                0.96748,                 1.1655,                0.74322,                 0.6506,                0.67141,                0.42492,                0.62182,                0.56791,                0.52112,                0.16135,                 1.2396,                 1.1834,                 1.3872,                 1.2269,               0.001802,               0.001802,               0.001802
                     13,                0.99609,                 1.5332,                 0.9321,                   1.15,                0.77918,                0.73896,                0.74484,                 0.4934,                 0.7015,                0.61044,                0.57533,                 0.1867,                 1.1831,                 1.1789,                 1.1534,                 1.1868,              0.0017822,              0.0017822,              0.0017822
                     14,                0.98439,                 1.5142,                0.90616,                 1.1458,                0.75026,                0.67068,                 0.7285,                0.47579,                0.68614,                 0.5619,                0.53979,                0.18403,                 1.2724,                 1.1793,                 1.2332,                  1.238,              0.0017624,              0.0017624,              0.0017624
                     15,                0.97335,                 1.5136,                0.90438,                 1.1363,                0.75983,                0.73494,                 0.7329,                0.47789,                 0.6454,                0.62651,                0.54603,                0.17447,                  1.207,                 1.1666,                 1.1957,                 1.2191,              0.0017426,              0.0017426,              0.0017426
                     16,                0.98233,                 1.5095,                0.89778,                 1.1481,                0.78194,                0.70281,                0.76686,                0.50283,                0.66344,                0.57792,                 0.5379,                0.17197,                 1.2006,                 1.2068,                 1.1913,                   1.21,              0.0017228,              0.0017228,              0.0017228
                     17,                0.95319,                 1.4938,                0.87309,                 1.1212,                0.77685,                0.68675,                0.71964,                0.49375,                0.70699,                0.61847,                0.57914,                0.17704,                 1.1034,                 1.1657,                 1.1969,                 1.1613,               0.001703,               0.001703,               0.001703
                     18,                0.95796,                 1.5031,                0.86948,                 1.1321,                0.81935,                0.69478,                 0.7546,                0.48397,                0.70568,                0.59839,                0.56422,                0.17737,                 1.2104,                 1.1875,                 1.1335,                 1.1666,              0.0016832,              0.0016832,              0.0016832
                     19,                0.92885,                 1.4916,                0.84817,                 1.1114,                0.77009,                0.72289,                0.75787,                0.55278,                0.72028,                0.60643,                0.58881,                 0.1899,                  1.048,                 1.1817,                 1.0735,                 1.1235,              0.0016634,              0.0016634,              0.0016634
                     20,                0.93049,                 1.4804,                0.84436,                 1.1237,                0.83579,                0.65863,                0.76547,                0.55598,                0.76146,                0.60241,                0.61944,                0.20017,                 1.0825,                 1.1857,                 1.0954,                 1.1275,              0.0016436,              0.0016436,              0.0016436
                     21,                0.92521,                 1.4778,                0.83275,                 1.1184,                0.81395,                 0.6506,                0.75727,                 0.5267,                0.71445,                0.53414,                0.54991,                0.16984,                 1.1344,                 1.2327,                 1.1651,                 1.1917,              0.0016238,              0.0016238,              0.0016238
                     22,                0.92173,                 1.4783,                0.82877,                 1.1132,                0.76464,                0.71761,                0.74905,                0.51307,                0.68435,                0.59438,                 0.5796,                0.19397,                 1.1405,                 1.2152,                 1.1221,                 1.1424,               0.001604,               0.001604,               0.001604
                     23,                0.90403,                 1.4557,                0.80556,                 1.1038,                0.77709,                0.73092,                0.74192,                0.50868,                0.69722,                0.65863,                0.61255,                0.17946,                 1.0648,                 1.2109,                 1.1183,                 1.1438,              0.0015842,              0.0015842,              0.0015842
                     24,                0.89652,                 1.4507,                0.81086,                 1.1039,                0.79716,                0.72691,                0.76093,                0.55559,                0.69212,                0.66667,                0.60902,                0.19594,                 1.0149,                  1.163,                 1.0553,                 1.1077,              0.0015644,              0.0015644,              0.0015644
                     25,                0.91047,                 1.4917,                0.80398,                 1.1111,                0.78057,                0.75904,                0.75168,                 0.5484,                0.69797,                0.67871,                0.60907,                 0.1914,                 1.0512,                 1.1884,                 1.0685,                 1.1253,              0.0015446,              0.0015446,              0.0015446
                     26,                0.89461,                 1.4701,                0.81538,                  1.105,                0.77373,                0.67292,                0.73537,                0.51368,                0.66982,                0.57831,                0.54603,                0.17495,                 1.0765,                 1.2151,                 1.1447,                 1.1318,              0.0015248,              0.0015248,              0.0015248
                     27,                0.89326,                 1.4626,                0.79144,                 1.1018,                0.73227,                0.71397,                0.73835,                0.52137,                0.66525,                0.62249,                0.59841,                0.18346,                 1.0511,                 1.1967,                 1.0787,                 1.1102,               0.001505,               0.001505,               0.001505
                     28,                0.87443,                 1.4541,                0.76584,                 1.0897,                0.82585,                0.73896,                0.78292,                0.57304,                0.75426,                0.68675,                0.66637,                0.20452,                 1.0067,                 1.1399,                0.99368,                 1.0835,              0.0014852,              0.0014852,              0.0014852
                     29,                0.86462,                 1.4388,                0.77061,                 1.0845,                0.78145,                0.71801,                0.75785,                0.55113,                 0.6905,                0.66265,                0.61582,                0.19335,                 1.0166,                 1.2217,                 1.0247,                 1.1041,              0.0014654,              0.0014654,              0.0014654
                     30,                0.88419,                  1.455,                0.77969,                 1.0937,                0.75027,                0.74807,                0.75456,                 0.5567,                0.67197,                0.68273,                0.62167,                0.19453,                 1.0392,                 1.1546,                 1.0702,                 1.1222,              0.0014456,              0.0014456,              0.0014456
                     31,                0.87712,                 1.4098,                0.77662,                  1.096,                0.81331,                0.76982,                0.79661,                0.57697,                0.72998,                 0.6747,                0.63313,                0.20592,                  1.045,                 1.1631,                 1.0098,                 1.0939,              0.0014258,              0.0014258,              0.0014258
                     32,                0.85712,                 1.4218,                 0.7529,                 1.0813,                0.77967,                0.71059,                0.78071,                0.54913,                0.70811,                0.64304,                0.64659,                 0.1933,                 1.0044,                 1.1355,                 1.0328,                 1.0783,               0.001406,               0.001406,               0.001406
                     33,                0.85404,                 1.4168,                0.76069,                 1.0834,                0.78917,                0.70683,                0.76339,                0.59101,                0.69605,                0.62651,                0.60786,                0.20194,                0.92375,                 1.1646,                0.93739,                 1.0627,              0.0013862,              0.0013862,              0.0013862
                     34,                0.84355,                 1.4052,                 0.7253,                 1.0707,                 0.8254,                0.74042,                 0.7864,                0.58015,                0.74747,                0.64192,                0.64486,                0.20995,                 0.9634,                 1.1496,                0.96963,                 1.0725,              0.0013664,              0.0013664,              0.0013664
                     35,                 0.8368,                 1.4147,                0.72096,                 1.0688,                 0.8115,                0.71888,                  0.771,                0.58185,                 0.7467,                0.61562,                0.63807,                0.20694,                0.98589,                 1.1463,                0.96417,                 1.0647,              0.0013466,              0.0013466,              0.0013466
                     36,                0.87615,                 1.4434,                0.75335,                 1.0827,                0.80783,                0.68273,                0.75439,                0.56045,                0.73872,                0.61847,                0.63116,                0.21313,                0.97333,                 1.1408,                 1.0268,                 1.0552,              0.0013268,              0.0013268,              0.0013268
                     37,                0.84552,                 1.4172,                0.73026,                 1.0709,                0.82062,                0.73494,                 0.7931,                0.57148,                0.71332,                0.62955,                0.60792,                0.19524,                  1.025,                 1.1793,                0.96725,                 1.1042,               0.001307,               0.001307,               0.001307
                     38,                0.84031,                 1.4271,                0.71685,                 1.0702,                0.72524,                0.76323,                0.75151,                0.54525,                0.64196,                0.67068,                0.59194,                0.19898,                 1.0291,                 1.1926,                 1.0026,                 1.0854,              0.0012872,              0.0012872,              0.0012872
                     39,                0.83247,                 1.4146,                0.72554,                 1.0673,                0.82196,                0.74297,                0.77606,                0.57342,                0.72495,                0.66667,                0.63473,                  0.205,                0.96134,                 1.1579,                 1.0034,                 1.0663,              0.0012674,              0.0012674,              0.0012674
