                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4215,                 2.1162,                 2.0227,                 1.3462,                0.21215,                0.26104,                0.14708,                 0.0494,                0.35628,                0.27341,                0.20119,                0.05147,                 2.3727,                 1.5706,                 3.7141,                 2.4328,             0.00066097,             0.00066097,             0.00066097
                      2,                 1.3604,                 1.6691,                 1.5045,                 1.2913,                0.54522,                0.47791,                0.44629,                0.17504,                0.52887,                0.38956,                0.32759,                0.09306,                 2.0162,                 1.4068,                 2.9415,                 2.0302,              0.0013145,              0.0013145,              0.0013145
                      3,                 1.3304,                 1.6352,                 1.3483,                 1.2781,                0.40678,                0.49398,                0.29781,                0.10512,                0.38788,                0.46061,                0.30576,                0.07611,                 2.2461,                  1.378,                 2.2787,                 1.9873,              0.0019548,              0.0019548,              0.0019548
                      4,                 1.2986,                 1.6638,                 1.2646,                 1.2541,                0.49629,                0.59353,                0.47817,                0.22973,                0.40326,                0.51807,                0.31822,                0.08533,                 1.8045,                 1.3485,                 1.7746,                 1.6785,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2295,                 1.6228,                 1.1945,                 1.2299,                0.65961,                0.59924,                0.54689,                0.26858,                0.54161,                0.46977,                0.34837,                0.09579,                 1.6908,                  1.407,                 1.6586,                 1.5769,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1965,                 1.6065,                 1.1405,                 1.2241,                0.44743,                0.55422,                0.38188,                0.16786,                0.32903,                 0.4739,                0.23394,                0.05615,                 1.8158,                 1.3222,                 2.0589,                 1.7699,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1536,                 1.5711,                  1.097,                 1.1912,                 0.7091,                0.64612,                0.66919,                 0.3483,                0.59485,                0.55422,                0.49547,                0.14569,                 1.5551,                 1.2506,                 1.4384,                  1.391,               0.001901,               0.001901,               0.001901
                      8,                 1.1254,                  1.569,                 1.0548,                 1.1796,                0.70713,                0.65936,                0.63815,                0.39316,                0.59024,                0.53012,                0.43279,                0.12199,                 1.4237,                 1.3442,                 1.4993,                 1.3534,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1028,                  1.554,                  1.046,                 1.1772,                0.66467,                0.62888,                0.66343,                0.36417,                0.48539,                0.57831,                0.46756,                 0.1311,                 1.4044,                   1.23,                 1.5193,                  1.346,              0.0018614,              0.0018614,              0.0018614
                     10,                  1.085,                 1.5388,                 1.0042,                 1.1595,                0.64374,                0.65462,                0.60482,                0.31533,                0.51015,                0.49398,                  0.391,                 0.1082,                 1.6036,                 1.2481,                 1.5655,                 1.5104,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.0708,                  1.547,                 1.0194,                 1.1606,                0.74693,                0.68675,                0.71499,                0.45273,                0.69128,                0.60643,                0.55742,                0.17542,                 1.4129,                   1.19,                 1.3117,                 1.3378,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0663,                 1.5584,                0.99878,                 1.1528,                0.77969,                0.61446,                0.69412,                0.42635,                0.67777,                0.53414,                0.51236,                0.16316,                 1.3591,                 1.1968,                 1.3206,                 1.2983,               0.001802,               0.001802,               0.001802
                     13,                 1.0324,                 1.5302,                0.97604,                 1.1461,                0.76375,                0.69478,                 0.7232,                0.44486,                0.68199,                0.57707,                 0.5462,                0.17274,                 1.3814,                 1.2332,                  1.276,                 1.2974,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0265,                 1.5065,                0.95635,                 1.1375,                0.74337,                0.66265,                0.67047,                0.43493,                0.62448,                 0.5743,                0.45878,                0.15248,                  1.258,                 1.2828,                 1.3367,                 1.2539,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0021,                 1.4974,                0.91614,                 1.1184,                0.81774,                0.66668,                0.74217,                0.48271,                0.69992,                0.57142,                0.54123,                0.18711,                 1.2746,                 1.2593,                 1.1864,                 1.2158,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.0191,                 1.5109,                0.93066,                 1.1337,                0.78712,                 0.6747,                0.71252,                0.45244,                0.70361,                0.60064,                0.56872,                0.18562,                  1.222,                 1.2259,                 1.2495,                 1.1969,              0.0017228,              0.0017228,              0.0017228
                     17,                 0.9831,                 1.4984,                0.91036,                  1.115,                0.84578,                0.67068,                0.73619,                0.47768,                0.73645,                0.57028,                0.56158,                0.18117,                 1.3219,                 1.1885,                 1.3278,                 1.3151,               0.001703,               0.001703,               0.001703
                     18,                0.98878,                 1.4836,                0.89825,                 1.1174,                0.75994,                0.68675,                0.70472,                0.46101,                0.64312,                0.56451,                0.52561,                0.16329,                 1.2223,                 1.1927,                 1.2929,                 1.2156,              0.0016832,              0.0016832,              0.0016832
                     19,                0.98556,                 1.5051,                0.89943,                 1.1131,                0.77303,                0.68675,                0.75373,                0.51319,                0.65925,                0.59438,                0.56204,                0.19341,                 1.2525,                 1.1605,                 1.2106,                 1.2366,              0.0016634,              0.0016634,              0.0016634
                     20,                 0.9552,                 1.4735,                0.87909,                 1.1054,                 0.7586,                0.71937,                0.75549,                0.48973,                0.69439,                0.57831,                0.55026,                0.18563,                 1.2029,                  1.233,                 1.1303,                 1.1936,              0.0016436,              0.0016436,              0.0016436
                     21,                0.95993,                 1.4551,                0.86493,                 1.1098,                0.74052,                0.73352,                0.72855,                0.48623,                0.65727,                0.62385,                0.57576,                0.18605,                  1.242,                 1.2224,                 1.1776,                 1.2263,              0.0016238,              0.0016238,              0.0016238
                     22,                0.96458,                 1.4812,                0.89165,                 1.1118,                0.82932,                0.70249,                0.77377,                 0.5221,                 0.7267,                0.59839,                 0.5929,                0.19992,                 1.1765,                 1.1863,                 1.1219,                 1.1772,               0.001604,               0.001604,               0.001604
                     23,                0.94967,                 1.4674,                0.84332,                 1.0949,                0.76775,                0.67068,                0.73909,                0.48607,                0.67055,                0.58853,                0.55827,                0.17803,                  1.217,                 1.2055,                 1.1981,                 1.1668,              0.0015842,              0.0015842,              0.0015842
                     24,                0.94099,                 1.4928,                 0.8554,                 1.0952,                0.78016,                0.72686,                0.77601,                0.51755,                0.66684,                0.62651,                0.56654,                0.19142,                 1.1876,                 1.2024,                 1.1419,                 1.1623,              0.0015644,              0.0015644,              0.0015644
                     25,                0.92318,                 1.4441,                0.83466,                 1.0871,                0.76848,                0.71486,                0.75394,                0.54226,                0.72933,                0.62764,                0.60902,                0.19747,                  1.147,                 1.2039,                  1.113,                 1.1512,              0.0015446,              0.0015446,              0.0015446
                     26,                0.93179,                 1.4744,                 0.8445,                 1.0946,                0.75054,                0.71084,                0.72348,                0.52246,                0.65038,                0.61446,                0.54402,                0.17394,                 1.0815,                 1.2175,                 1.1119,                 1.1124,              0.0015248,              0.0015248,              0.0015248
                     27,                  0.918,                 1.4555,                 0.8238,                 1.0938,                0.78876,                 0.7198,                0.78369,                0.53492,                0.70074,                0.63948,                0.62518,                0.19676,                 1.1715,                 1.1774,                 1.0766,                 1.1551,               0.001505,               0.001505,               0.001505
                     28,                0.92719,                  1.465,                0.82293,                 1.0926,                0.77424,                0.71888,                0.75937,                0.53169,                0.68205,                0.64257,                0.61697,                0.20315,                 1.1155,                 1.1819,                 1.0793,                 1.1267,              0.0014852,              0.0014852,              0.0014852
                     29,                0.91256,                 1.4473,                0.80261,                 1.0828,                0.84284,                0.70683,                0.77823,                0.53964,                0.74352,                0.60241,                0.60278,                0.19807,                 1.1111,                 1.2165,                 1.0732,                 1.1333,              0.0014654,              0.0014654,              0.0014654
                     30,                 0.9074,                 1.4463,                 0.8266,                 1.0868,                0.76259,                 0.7353,                0.77474,                0.54252,                0.68313,                0.63205,                0.62009,                 0.2076,                 1.1087,                  1.226,                 1.0426,                  1.101,              0.0014456,              0.0014456,              0.0014456
                     31,                0.90073,                 1.4353,                0.80767,                 1.0763,                0.79321,                0.70861,                0.76638,                0.54722,                0.68517,                 0.6506,                0.60815,                0.20459,                 1.0109,                 1.2374,                 1.0754,                 1.0693,              0.0014258,              0.0014258,              0.0014258
                     32,                0.90182,                 1.4202,                0.79833,                 1.0856,                0.81997,                0.69478,                0.75207,                0.52055,                0.74166,                0.60643,                0.61024,                0.19847,                 1.1434,                 1.1755,                 1.1166,                 1.1504,               0.001406,               0.001406,               0.001406
                     33,                0.89268,                 1.4301,                0.79419,                 1.0776,                0.79858,                0.69076,                0.75654,                0.51713,                0.70454,                0.59438,                0.58393,                0.18669,                 1.1357,                 1.1965,                 1.0853,                 1.1595,              0.0013862,              0.0013862,              0.0013862
                     34,                0.88709,                 1.4385,                0.77524,                 1.0692,                0.83159,                0.73376,                 0.8136,                0.58427,                0.74241,                0.62505,                0.61839,                  0.183,                 1.0874,                 1.2378,                0.98556,                 1.1056,              0.0013664,              0.0013664,              0.0013664
                     35,                0.88749,                 1.4351,                0.77864,                 1.0725,                0.76825,                 0.7855,                 0.7831,                0.56169,                 0.6868,                0.63855,                0.59151,                0.19505,                 1.0768,                 1.2122,                0.98527,                 1.1241,              0.0013466,              0.0013466,              0.0013466
                     36,                0.89221,                 1.4447,                0.78608,                 1.0781,                0.84399,                0.73896,                0.80336,                0.57837,                0.72556,                0.68273,                0.63585,                0.19896,                 1.0901,                 1.1805,                 0.9959,                 1.1035,              0.0013268,              0.0013268,              0.0013268
                     37,                0.87459,                 1.4099,                0.77482,                 1.0721,                0.77957,                0.69594,                0.77171,                 0.5473,                 0.6877,                0.59839,                0.60562,                0.20149,                 1.0761,                 1.2477,                  1.027,                  1.117,               0.001307,               0.001307,               0.001307
                     38,                0.87033,                 1.4194,                 0.7677,                 1.0618,                0.78624,                0.74699,                 0.7801,                0.57147,                0.68699,                0.62651,                0.61525,                0.19381,                 1.0254,                  1.224,                0.99839,                  1.078,              0.0012872,              0.0012872,              0.0012872
                     39,                0.86741,                 1.4213,                0.75658,                 1.0622,                0.76611,                0.77612,                0.79275,                 0.5601,                0.68286,                0.69178,                0.64856,                0.20868,                 1.0837,                  1.196,                 1.0406,                 1.0813,              0.0012674,              0.0012674,              0.0012674
                     40,                 0.8675,                 1.4221,                0.76295,                 1.0559,                0.80111,                0.76028,                0.78439,                0.57174,                0.66449,                0.66017,                0.60069,                0.19532,                  1.021,                 1.1502,                0.95563,                 1.0723,              0.0012476,              0.0012476,              0.0012476
                     41,                0.85549,                 1.3993,                0.73354,                 1.0621,                0.82905,                0.70115,                0.76709,                0.56989,                0.74554,                0.63052,                0.62768,                0.20589,                 1.0289,                 1.2057,                0.99264,                 1.0773,              0.0012278,              0.0012278,              0.0012278
                     42,                0.86636,                 1.4061,                0.74964,                 1.0668,                0.82289,                0.74297,                 0.7922,                  0.574,                0.72278,                0.66265,                0.64179,                0.20943,                 1.0122,                 1.1712,                0.99923,                 1.0788,               0.001208,               0.001208,               0.001208
                     43,                0.85038,                 1.4017,                0.74197,                 1.0538,                0.76353,                0.78313,                0.79827,                0.57007,                0.68938,                0.66667,                0.64505,                0.22038,                 1.0345,                 1.1584,                0.98437,                 1.0921,              0.0011882,              0.0011882,              0.0011882
                     44,                0.84677,                 1.4054,                0.74725,                 1.0556,                0.83932,                0.72691,                0.77186,                0.54444,                0.74869,                0.63052,                0.62695,                 0.2053,                 0.9986,                 1.1731,                0.97491,                 1.0643,              0.0011684,              0.0011684,              0.0011684
                     45,                0.83731,                 1.4003,                0.72532,                 1.0512,                0.84838,                0.74297,                0.79993,                0.57911,                 0.7566,                0.64917,                 0.6319,                0.19492,                 1.0264,                 1.2066,                0.95801,                 1.0784,              0.0011486,              0.0011486,              0.0011486
                     46,                0.82806,                 1.3897,                0.71415,                 1.0397,                0.79143,                0.74297,                0.76606,                0.56527,                0.75757,                0.63052,                0.64843,                 0.2103,                0.99448,                 1.1885,                0.95266,                 1.0651,              0.0011288,              0.0011288,              0.0011288
                     47,                0.84107,                 1.4091,                0.71196,                 1.0498,                0.81356,                0.73605,                0.78496,                0.58275,                0.66763,                0.68571,                0.63281,                0.21454,                  1.008,                 1.1947,                0.97147,                 1.0633,               0.001109,               0.001109,               0.001109
                     48,                0.83592,                 1.3875,                0.71454,                 1.0529,                0.80407,                0.72517,                0.79319,                0.57845,                0.70998,                0.65462,                0.63753,                0.21678,                 1.0215,                 1.1925,                0.98487,                 1.0893,              0.0010892,              0.0010892,              0.0010892
                     49,                0.83834,                 1.4064,                 0.7245,                 1.0515,                0.85224,                0.72691,                0.81544,                0.59514,                0.76379,                0.63052,                0.65683,                0.21651,                0.98583,                 1.1805,                0.92186,                 1.0615,              0.0010694,              0.0010694,              0.0010694
                     50,                0.83765,                 1.4015,                0.71677,                 1.0454,                0.84172,                 0.7751,                 0.7972,                0.59728,                0.75109,                0.68675,                0.65468,                0.21614,                0.98726,                 1.1659,                0.91942,                 1.0363,              0.0010496,              0.0010496,              0.0010496
                     51,                0.84117,                 1.4026,                0.71003,                 1.0493,                0.82499,                0.71888,                0.77518,                0.57175,                0.69161,                0.66667,                0.63889,                0.20087,                 1.0029,                 1.1742,                0.92104,                 1.0606,              0.0010298,              0.0010298,              0.0010298
                     52,                0.81785,                  1.385,                0.69463,                 1.0458,                0.83384,                0.74569,                0.78757,                0.57824,                0.75538,                0.64487,                0.63701,                0.21927,                0.99786,                 1.1994,                0.91649,                 1.0468,                0.00101,                0.00101,                0.00101
                     53,                0.82807,                 1.3873,                0.69252,                 1.0375,                0.83452,                0.73092,                0.79363,                0.60476,                0.74457,                0.64659,                 0.6612,                0.22654,                0.97971,                 1.1707,                0.94389,                 1.0804,              0.0009902,              0.0009902,              0.0009902
                     54,                0.81993,                 1.3778,                0.69183,                  1.038,                0.78024,                0.74148,                0.75865,                0.57166,                0.79354,                0.63052,                0.65467,                0.21894,                0.97017,                 1.1957,                 0.9419,                 1.0457,              0.0009704,              0.0009704,              0.0009704
                     55,                0.81394,                 1.3769,                0.68666,                  1.038,                0.82862,                0.75502,                0.80482,                0.59437,                0.74383,                0.64659,                0.63042,                0.19426,                0.95423,                 1.1785,                0.93602,                 1.0436,              0.0009506,              0.0009506,              0.0009506
                     56,                0.81061,                 1.3778,                0.67249,                 1.0325,                  0.839,                0.73252,                0.78959,                0.59624,                 0.7637,                0.65462,                0.66248,                0.22104,                0.99793,                 1.1682,                0.88676,                 1.0663,              0.0009308,              0.0009308,              0.0009308
                     57,                0.79952,                 1.3471,                0.66655,                 1.0339,                0.80657,                0.76305,                0.80464,                0.61486,                0.69895,                0.67135,                0.63881,                0.22232,                0.95465,                 1.1867,                 0.8707,                 1.0403,               0.000911,               0.000911,               0.000911
                     58,                0.80012,                 1.3694,                0.67406,                 1.0269,                0.87307,                0.71888,                0.79093,                0.59234,                0.78509,                0.64552,                0.65248,                0.22671,                0.99651,                 1.2157,                0.87826,                  1.042,              0.0008912,              0.0008912,              0.0008912
