                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4657,                 2.0367,                 1.9417,                 1.3656,                0.17474,                0.26908,                  0.096,                0.03507,                0.15287,                0.23293,                 0.0568,                0.01505,                  2.574,                 2.1679,                 3.6925,                 2.3001,             0.00066237,             0.00066237,             0.00066237
                      2,                 1.4359,                   1.72,                 1.4296,                 1.3364,                0.03914,                0.13655,                0.01816,                0.00526,                0.09022,                0.30522,                0.05036,                0.01081,                 2.9218,                 1.6827,                 4.3267,                 2.4581,              0.0013159,              0.0013159,              0.0013159
                      3,                 1.4384,                 1.6655,                   1.42,                 1.3303,                0.52207,                0.51004,                0.46447,                0.21356,                0.49358,                0.37186,                0.32479,                0.09196,                 1.9952,                 1.5305,                 2.0019,                 1.8169,              0.0019562,              0.0019562,              0.0019562
                      4,                 1.3178,                 1.6649,                 1.2861,                 1.2713,                0.62405,                0.56664,                0.56136,                0.28085,                0.53051,                0.46988,                0.41032,                0.10646,                 1.6877,                 1.3496,                 2.0278,                 1.5225,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2417,                 1.6081,                 1.1885,                 1.2378,                0.60347,                0.63052,                0.56145,                0.30235,                0.47187,                0.48996,                0.32013,                0.09705,                 1.7035,                 1.3495,                 1.6615,                 1.4889,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1986,                 1.6143,                 1.1339,                 1.2178,                0.70644,                0.67652,                0.63722,                0.34058,                0.59585,                0.55823,                0.44315,                0.13177,                 1.5638,                 1.2851,                 1.6047,                 1.3883,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1589,                 1.6001,                 1.0906,                 1.2023,                0.62061,                 0.6988,                0.60217,                 0.3222,                0.59052,                0.55823,                0.45347,                0.13543,                 1.5638,                 1.2092,                 1.6763,                 1.3984,               0.001901,               0.001901,               0.001901
                      8,                  1.108,                 1.5773,                 1.0409,                 1.1763,                0.60812,                0.56225,                0.56579,                 0.3265,                0.51393,                0.46988,                0.41361,                0.12539,                 1.4673,                 1.2218,                 1.5718,                 1.3372,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1029,                 1.5523,                 1.0267,                 1.1733,                0.69766,                0.67871,                0.69253,                0.41738,                0.58465,                0.59036,                0.50763,                0.15618,                 1.3804,                  1.214,                 1.4017,                  1.326,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0954,                 1.5545,                 1.0068,                 1.1726,                0.75654,                0.66667,                0.72245,                0.44363,                0.68677,                0.55422,                0.55872,                0.17256,                 1.4044,                 1.2376,                 1.2861,                  1.316,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.0379,                 1.5257,                0.95803,                 1.1503,                0.66357,                0.61785,                0.60749,                0.38484,                0.59877,                0.48594,                0.46146,                0.14607,                 1.3688,                 1.2022,                 1.4186,                 1.3111,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0456,                 1.5266,                0.95755,                 1.1455,                0.70087,                0.66265,                0.71048,                0.45902,                0.65961,                0.55422,                0.53879,                0.16814,                 1.3285,                 1.2735,                 1.3209,                 1.2833,               0.001802,               0.001802,               0.001802
                     13,                 1.0261,                 1.5133,                0.96692,                 1.1449,                0.76503,                0.68675,                0.71438,                0.45729,                0.70317,                0.58985,                0.56771,                0.18714,                 1.3054,                  1.217,                  1.262,                 1.2631,              0.0017822,              0.0017822,              0.0017822
                     14,                  1.002,                 1.5068,                0.92587,                 1.1306,                0.65916,                0.74297,                0.71416,                0.46455,                0.54891,                 0.5743,                 0.4743,                0.14474,                 1.2891,                 1.2233,                 1.2571,                 1.2728,              0.0017624,              0.0017624,              0.0017624
                     15,                0.98795,                 1.4995,                0.90831,                 1.1248,                0.73109,                0.68273,                0.70018,                0.46547,                0.58059,                0.55422,                0.49179,                0.16835,                 1.2328,                 1.3137,                 1.2699,                 1.1984,              0.0017426,              0.0017426,              0.0017426
                     16,                0.99238,                  1.492,                0.92137,                 1.1305,                  0.701,                0.70683,                0.73188,                0.48935,                0.71036,                0.55422,                0.56962,                0.17793,                 1.2306,                 1.2371,                 1.1596,                 1.2094,              0.0017228,              0.0017228,              0.0017228
                     17,                0.98867,                 1.5047,                0.90484,                 1.1264,                0.77565,                0.73092,                0.75877,                0.50896,                0.66235,                0.63454,                0.56842,                0.18617,                 1.1998,                 1.2407,                 1.1332,                  1.173,               0.001703,               0.001703,               0.001703
                     18,                0.95484,                  1.472,                0.88082,                 1.1066,                0.78345,                0.70683,                0.73302,                0.51542,                0.70851,                 0.5857,                0.58062,                0.19719,                 1.1845,                 1.2181,                 1.1804,                 1.2045,              0.0016832,              0.0016832,              0.0016832
                     19,                0.96913,                 1.4845,                0.88988,                 1.1178,                0.79973,                0.70565,                0.76186,                 0.5436,                 0.6028,                0.65825,                0.58376,                0.19075,                 1.1483,                 1.2166,                  1.115,                 1.1829,              0.0016634,              0.0016634,              0.0016634
                     20,                0.94948,                 1.4891,                 0.8795,                 1.1029,                0.80118,                0.66667,                 0.7449,                 0.5155,                0.75639,                0.56113,                  0.597,                0.18716,                 1.1679,                 1.2073,                 1.1666,                 1.1545,              0.0016436,              0.0016436,              0.0016436
                     21,                0.93251,                 1.4485,                0.86158,                 1.1007,                0.74994,                0.72289,                0.74482,                0.51139,                0.67875,                0.58549,                0.56562,                0.18758,                 1.1633,                 1.1681,                 1.1251,                 1.1511,              0.0016238,              0.0016238,              0.0016238
