                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5963,                 1.9149,                 1.7838,                 1.5444,                0.23843,                0.36546,                 0.1494,                0.04576,                0.22707,                0.28916,                0.12124,                0.02566,                 2.4108,                 1.6868,                 3.4285,                 1.9816,             0.00066523,             0.00066523,             0.00066523
                      1,                 1.6179,                 1.9267,                 1.7886,                 1.5516,                0.16332,                0.31325,                0.11714,                0.03108,                0.12216,                0.18072,                0.05229,                0.00957,                 2.8618,                 1.6531,                 2.9533,                 2.4267,             0.00066541,             0.00066541,             0.00066541
                      2,                 1.5737,                 1.8123,                 1.6212,                 1.5066,                0.33446,                0.45783,                 0.2476,                0.08871,                0.22765,                 0.3012,                0.09985,                0.01805,                 2.2673,                 2.0189,                 2.2535,                 1.9021,              0.0013189,              0.0013189,              0.0013189
                      3,                 1.4061,                 1.7186,                 1.4297,                 1.4069,                0.59788,                0.51807,                0.48914,                0.23543,                0.50125,                 0.4498,                0.34339,                0.09922,                 1.7749,                  1.413,                 1.9443,                 1.5404,              0.0019592,              0.0019592,              0.0019592
                      4,                 1.3201,                 1.6925,                 1.3573,                 1.3549,                0.50986,                0.62249,                 0.4161,                0.21549,                  0.387,                0.50201,                0.24406,                0.06149,                 1.6553,                  1.475,                 1.9402,                 1.4654,              0.0019406,              0.0019406,              0.0019406
                      1,                 1.6736,                 1.9362,                 1.8612,                 1.5889,                0.16159,                0.17671,                0.09343,                0.02677,                0.17353,                0.30924,                0.10807,                0.02795,                 2.6199,                 1.4129,                 4.2262,                 2.0153,             0.00066541,             0.00066541,             0.00066541
                      2,                 1.5917,                 1.8094,                 1.6642,                 1.5326,                 0.4935,                0.43044,                0.38736,                0.16147,                0.43715,                0.38055,                0.26224,                0.06302,                 1.9523,                 1.4166,                 2.4408,                 1.6559,              0.0013189,              0.0013189,              0.0013189
                      3,                 1.4125,                 1.7315,                 1.4425,                  1.409,                0.39268,                0.66265,                  0.344,                0.16542,                0.29876,                0.56627,                0.20203,                0.05701,                 1.6689,                 1.3224,                  2.027,                 1.4709,              0.0019592,              0.0019592,              0.0019592
                      4,                 1.3353,                 1.6951,                 1.3566,                 1.3722,                0.62023,                0.63855,                0.55522,                0.29591,                0.50149,                0.50501,                0.34894,                0.09556,                 1.5269,                 1.3806,                 1.7463,                 1.3914,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2413,                 1.6301,                 1.2708,                 1.3235,                0.70421,                0.63454,                0.62352,                0.34049,                0.61618,                0.56627,                 0.4547,                0.13159,                 1.4884,                 1.2564,                 1.6448,                 1.3507,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1881,                  1.636,                  1.202,                 1.2932,                0.66709,                0.65462,                0.58513,                0.33037,                0.62496,                0.59036,                0.46917,                0.14315,                 1.5248,                 1.2574,                 1.5699,                 1.3563,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1337,                 1.6122,                 1.1202,                 1.2554,                0.75558,                0.65798,                0.68058,                0.43013,                0.62382,                0.57028,                0.49448,                0.15167,                 1.3404,                 1.3052,                 1.3605,                 1.2792,               0.001901,               0.001901,               0.001901
                      8,                 1.1129,                 1.5764,                 1.0796,                 1.2392,                0.72486,                 0.6747,                0.65401,                0.43046,                0.61259,                0.56519,                 0.4774,                 0.1455,                 1.2376,                 1.2465,                 1.2906,                 1.2317,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0901,                  1.596,                 1.0621,                 1.2351,                0.64445,                0.67698,                0.63463,                0.42746,                0.55826,                0.56627,                0.46877,                0.15372,                 1.2056,                 1.2006,                 1.2687,                  1.186,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0521,                 1.5693,                 1.0327,                 1.2095,                0.79726,                 0.6791,                0.71935,                0.48689,                0.73711,                0.59036,                 0.5544,                0.17407,                 1.1707,                 1.2187,                 1.2235,                 1.1508,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.0415,                 1.5773,                 1.0256,                 1.2042,                0.67552,                0.72738,                 0.6729,                 0.4603,                  0.586,                  0.631,                0.48672,                 0.1534,                 1.1033,                 1.2226,                 1.2211,                 1.1343,              0.0018218,              0.0018218,              0.0018218
